Column1,Unnamed: 0,en_curid,name,numlangs,countryCode3,birthyear,birthcity,gender,occupation,industry,domain,date,pageviews
1,1,308,Aristotle,152,GRC,-384,Stageira,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,558723
7,7,736,Albert Einstein,166,DEU,1879,Ulm,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,977656
8,8,783,Alexander the Great,138,GRC,-356,Pella,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,498981
31,31,1130,Avicenna,102,UZB,980,Bukhara,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,101793
40,40,1273,Augustus,117,ITA,-63,Rome,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,262157
103,103,1844,Archimedes,129,ITA,-287,Syracuse,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,328998
173,173,3395,Gautama Buddha,124,IND,-563,Lumbini,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,181554
227,227,5635,Christopher Columbus,153,ITA,1451,Genoa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,543179
238,238,5823,Confucius,192,CHN,-551,Qufu,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,191566
306,306,8169,Dante,137,ITA,1265,Florence,Missing,WRITER, LANGUAGE,HUMANITIES,2008-01,217911
628,628,14627,Isaac Newton,191,GBR,1642,Woolsthorpe-by-Colsterworth,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,614099
629,629,14631,Immanuel Kant,125,DEU,1724,Königsberg,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,316169
656,656,15641,Joseph Stalin,134,GEO,1878,Gori,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,372757
687,687,15924,Julius Caesar,128,ITA,-100,Suburra,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,583257
769,769,16509,Jeanne d'Arc,104,FRA,1412,Domrémy-la-Pucelle,Female,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,243612
789,789,16743,Karl Marx,148,DEU,1818,Trier,Male,ECONOMIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,456869
846,846,17914,Ludwig van Beethoven,153,DEU,1770,Bonn,Male,COMPOSER, MUSIC,ARTS,2008-01,576916
865,865,18079,Leonardo Da Vinci,174,ITA,1452,Anchiano,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-01,1042278
878,878,18553,Louis XIV of France,89,FRA,1638,Château de Saint-Germain-en-Laye,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,211070
889,889,18934,Muhammad,150,SAU,570,Mecca,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,459382
894,894,19334,Marco Polo,127,ITA,1254,Venice,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,200719
908,908,19577,Moses,115,EGY,-1391,Wadi Tumilat,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,214900
982,982,21019,Michelangelo,158,ITA,1475,Caprese Michelangelo,Male,PAINTER, FINE ARTS,ARTS,2008-01,447588
1031,1031,22954,Plato,142,GRC,-427,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,491156
1257,1257,25525,René Descartes,120,FRA,1596,"Descartes, Indre-et-Loire",Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,298522
1322,1322,26743,Sigmund Freud,134,CZE,1856,Příbor,Male,PSYCHOLOGIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,480626
1392,1392,29778,Thomas Edison,126,USA,1847,Milan,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-01,435560
1394,1394,29922,Thomas Jefferson,113,USA,1743,Albemarle County,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,340585
1461,1461,32603,Vincent van Gogh,155,NLD,1853,Zundert,Male,PAINTER, FINE ARTS,ARTS,2008-01,491431
1469,1469,32897,William Shakespeare,163,GBR,1564,Stratford-upon-Avon,Male,WRITER, LANGUAGE,HUMANITIES,2008-01,916323
1481,1481,33163,Wolfgang Amadeus Mozart,177,AUT,1756,Salzburg,Male,COMPOSER, MUSIC,ARTS,2008-01,692544
1888,1888,45080,Vasco da Gama,119,PRT,1469,Sines,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,127885
2715,2715,69880,Napoleon Bonaparte,145,FRA,1769,Corsica,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,506273
2799,2799,73513,Mary,100,ISR,-100,Nazareth,Female,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,49787
5753,5753,323592,Nicolaus Copernicus,128,POL,1473,Toruń,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,229157
8192,8192,1095706,Jesus Christ,214,PSE,-4,Bethlehem,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,629071
9146,9146,2731583,Adolf Hitler,169,AUT,1889,Braunau am Inn,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,1302419
9505,9505,4848272,Donald Trump,52,USA,1946,Queens,Male,BUSINESSPERSON, BUSINESS,BUSINESS & LAW,2008-01,205279
9783,9783,7567080,Martin Luther,125,DEU,1483,Eisleben,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,414162
9850,9850,8145410,Charles Darwin,148,GBR,1809,Shrewsbury,Male,BIOLOGIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,416668
9939,9939,9906294,Johann Sebastian Bach,144,DEU,1685,Eisenach,Male,COMPOSER, MUSIC,ARTS,2008-01,360346
9974,9974,11015252,Vladimir Lenin,137,RUS,1870,Ulyanovsk,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,204548
10020,10020,12153654,Elizabeth II of the United Kingdom,127,GBR,1926,London,Female,NOBLEMAN, GOVERNMENT,INSTITUTIONS,2008-01,110345
10082,10082,13623554,Che Guevara,129,ARG,1928,Rosario,Male,SOCIAL ACTIVIST, ACTIVISM,PUBLIC FIGURE,2008-01,507134
10177,10177,17414699,Genghis Khan,121,MNG,1162,Delüün Boldog,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,210422
10333,10333,19914843,Ferdinand Magellan,120,PRT,1480,Sabrosa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,151945
10569,10569,25664190,Socrates,137,GRC,-469,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,397732
